Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Jackfruit,328,23.88,57.34,2.04,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,North Indian,"['General_Wellness', 'Skin_Health', 'Immunity']"
Baingan Bharta,361,38.56,32.4,13.65,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Neutral,Avoid,East Indian,"['Immunity', 'Skin_Health']"
Puran Poli,269,18.21,54.03,1.65,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['General_Wellness', 'Weight_Loss']"
Sooji ka Halwa,426,3.52,9.15,12.54,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,North Indian,['Digestion']
Hyderabadi Biryani,447,16.1,77.93,8.54,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,West Indian,"['Diabetes', 'Joint_Pain']"
Ghee,301,20.49,52.13,4.33,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,['Hair_Growth']
Cod,208,24.81,47.87,7.32,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,West Indian,"['Skin_Health', 'Acidity']"
Tofu,572,18.28,10.55,18.76,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,['Diabetes']
Tuna,511,14.96,50.56,24.72,Lavana (Salty),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,South Indian,"['Digestion', 'Joint_Pain']"
Bhindi Masala,156,25.93,21.01,21.4,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,North Indian,['Weight_Loss']
Dosa,412,7.92,20.8,9.48,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,['Acidity']
Green Cardamom,307,4.82,28.89,11.52,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,"['Diabetes', 'Weight_Gain']"
Mango,546,24.6,35.58,34.3,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Acidity', 'Heart_Health', 'Joint_Pain']"
White Rice,264,7.79,54.02,2.32,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,East Indian,"['Hair_Growth', 'Skin_Health', 'Stress']"
Palak Paneer,256,38.68,36.91,21.14,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,South Indian,"['Diabetes', 'Stress']"
Black-eyed Peas,80,18.11,45.69,34.38,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,East Indian,['General_Wellness']
Sambar,564,31.83,11.99,30.95,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Diabetes', 'General_Wellness', 'Joint_Pain']"
Feta,165,20.09,40.02,17.49,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,West Indian,"['Immunity', 'General_Wellness', 'Joint_Pain']"
Walnut,267,18.11,54.16,9.92,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,['Joint_Pain']
Onion Bhaji,253,7.68,36.31,12.08,Kashaya (Astringent),Shita (Cold),Amla (Sour),Neutral,Avoid,Favor,West Indian,"['Skin_Health', 'Hair_Growth']"
Thepla,225,7.28,25.41,6.29,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,West Indian,['General_Wellness']
Crab,166,36.1,10.96,12.54,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Neutral,East Indian,"['Stress', 'General_Wellness']"
Coriander,176,35.41,28.19,11.76,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Hair_Growth', 'Diabetes']"
Pumpkin Seeds,386,3.08,55.3,17.66,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,['Weight_Loss']
Samosa,360,36.12,69.89,11.14,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,East Indian,['Acidity']
Ashwagandha,525,28.11,71.07,12.1,Amla (Sour),Shita (Cold),Madhura (Sweet),Neutral,Favor,Avoid,South Indian,"['Immunity', 'Stress', 'Weight_Loss']"
Oats,507,13.53,25.76,16.76,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Skin_Health', 'Hair_Growth']"
Mango,407,4.99,43.57,26.94,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['Weight_Loss']
Plum,350,39.25,10.01,14.11,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['General_Wellness', 'Weight_Gain']"
Bay Leaf,565,22.16,50.69,21.52,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Skin_Health', 'Heart_Health', 'Stress']"
Coconut,536,2.51,72.53,13.84,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Avoid,South Indian,['Diabetes']
Salt,469,38.59,11.44,0.79,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Neutral,Favor,East Indian,"['Hair_Growth', 'Heart_Health']"
Macadamia,545,17.38,8.66,33.84,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['Acidity', 'Diabetes', 'Joint_Pain']"
Walnut,394,18.16,50.24,20.27,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,North Indian,"['Digestion', 'Diabetes', 'General_Wellness']"
Flax Seeds,453,37.36,9.94,26.07,Katu (Pungent),Shita (Cold),Katu (Pungent),Neutral,Neutral,Avoid,North Indian,['Stress']
Turnip,488,3.35,63.5,32.24,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['Immunity', 'Hair_Growth']"
Tea,484,20.23,11.08,26.91,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,South Indian,"['Skin_Health', 'Digestion', 'Stress']"
Fenugreek Seeds,182,35.87,73.64,18.0,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Favor,Favor,West Indian,"['Skin_Health', 'Weight_Gain', 'Acidity']"
Handvo,388,19.6,66.65,7.2,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Skin_Health', 'Stress']"
Peanut Oil,453,35.73,17.98,11.87,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,"['Acidity', 'Skin_Health', 'Diabetes']"
Pakora,235,30.14,9.13,11.48,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Neutral,West Indian,"['Hair_Growth', 'Immunity']"
Peach,263,14.84,12.46,33.51,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,South Indian,['General_Wellness']
Tea,512,2.2,26.04,21.37,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,West Indian,"['General_Wellness', 'Diabetes', 'Hair_Growth']"
Shrimp,466,23.95,73.9,20.6,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,['Stress']
Handvo,368,28.29,59.96,25.58,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,['Skin_Health']
Dal Bati Churma,136,39.9,44.2,19.28,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,North Indian,['Weight_Gain']
Pomegranate,472,28.36,35.49,27.48,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Stress', 'Acidity']"
Bajra Roti,60,28.73,58.67,25.38,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Weight_Gain', 'Stress']"
Beetroot,532,8.86,57.15,27.67,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['Skin_Health', 'Joint_Pain', 'Digestion']"
Couscous,276,14.35,47.94,26.9,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,West Indian,"['General_Wellness', 'Heart_Health']"
Vindaloo,548,6.87,74.73,11.5,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Hair_Growth', 'Diabetes', 'Stress']"
Ragi,204,24.08,43.64,18.59,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Stress', 'Hair_Growth', 'Heart_Health']"
Jasmine Rice,189,20.5,16.89,28.94,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,South Indian,['Acidity']
Giloy,459,24.82,48.08,3.32,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,['Hair_Growth']
Wheatgrass Juice,125,24.87,78.84,10.57,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['Acidity', 'Hair_Growth', 'General_Wellness']"
Vindaloo,318,10.19,57.07,19.08,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,North Indian,['Digestion']
Coconut Burfi,281,36.31,20.61,9.43,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Neutral,Neutral,Favor,East Indian,['Heart_Health']
Pomegranate,246,23.02,76.18,4.0,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['General_Wellness', 'Skin_Health', 'Digestion']"
Raj Kachori,413,18.14,61.59,29.49,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,"['Hair_Growth', 'Heart_Health', 'Weight_Gain']"
Avial,459,2.96,9.91,24.73,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Joint_Pain', 'Heart_Health', 'Diabetes']"
Sugarcane Juice,494,24.7,53.23,20.45,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,North Indian,"['General_Wellness', 'Weight_Loss', 'Stress']"
Lemon,190,19.04,64.41,15.97,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Acidity', 'Hair_Growth', 'Stress']"
Coriander,262,39.27,52.86,7.18,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['Digestion', 'Hair_Growth', 'Acidity']"
Pomegranate,163,6.22,43.91,14.03,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,West Indian,"['Skin_Health', 'Stress']"
Goat Cheese,544,37.05,42.23,25.81,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Favor,North Indian,"['Digestion', 'Weight_Loss', 'Immunity']"
Malai Kofta,531,24.66,70.07,24.16,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,East Indian,['Immunity']
Palak Dal,384,26.49,7.04,20.99,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Diabetes', 'Joint_Pain']"
Sunflower Seeds,298,24.22,73.39,31.77,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,"['Weight_Loss', 'Weight_Gain']"
Custard Apple,295,36.66,34.11,18.25,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,East Indian,"['Immunity', 'Acidity', 'Weight_Loss']"
Jackfruit,438,24.97,69.9,9.6,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,East Indian,['Skin_Health']
Passion Fruit,374,16.15,47.67,16.31,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,South Indian,"['Weight_Loss', 'General_Wellness', 'Stress']"
Rosemary,84,30.67,37.56,13.1,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,South Indian,['Digestion']
Fennel Seeds,391,3.49,44.82,20.0,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Neutral,Favor,South Indian,"['General_Wellness', 'Heart_Health', 'Digestion']"
Fig,67,8.32,13.14,5.79,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Neutral,East Indian,"['Weight_Gain', 'Joint_Pain', 'Acidity']"
Star Fruit,133,35.64,13.17,9.68,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Avoid,North Indian,"['Stress', 'Skin_Health', 'Acidity']"
Tomato,581,35.32,46.08,20.48,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,['Immunity']
Amla,411,3.36,56.02,2.03,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['Weight_Gain', 'Acidity']"
Brown Rice,584,3.42,68.23,2.28,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['General_Wellness', 'Joint_Pain']"
Coconut Oil,382,27.42,51.24,32.84,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,['Weight_Loss']
Persimmon,351,24.19,39.95,19.23,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Neutral,Avoid,South Indian,"['Heart_Health', 'Skin_Health', 'General_Wellness']"
Onion,354,14.42,59.61,23.04,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,North Indian,"['Heart_Health', 'Hair_Growth']"
Persimmon,263,25.54,25.58,29.02,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,['Diabetes']
Pork,236,15.31,36.72,21.15,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,['Digestion']
Chaas,51,39.76,17.4,27.46,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,East Indian,"['Heart_Health', 'Joint_Pain']"
Oats,406,13.2,57.19,15.75,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,North Indian,"['General_Wellness', 'Diabetes']"
Flax Seeds,214,34.38,34.8,19.88,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Neutral,Avoid,South Indian,['General_Wellness']
Yam,121,36.41,27.31,3.05,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,"['Stress', 'Joint_Pain', 'Diabetes']"
White Rice,575,29.42,30.14,2.8,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['Joint_Pain', 'Stress', 'Immunity']"
Coconut,373,6.96,22.62,21.86,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['Weight_Gain', 'General_Wellness']"
Pickle,392,5.09,63.37,12.58,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,North Indian,"['Weight_Loss', 'Skin_Health', 'General_Wellness']"
Bay Leaf,56,26.56,46.79,27.6,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,West Indian,"['Acidity', 'Diabetes', 'Hair_Growth']"
Olive Oil,339,32.49,34.83,9.81,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Neutral,Favor,East Indian,['Heart_Health']
Bitter Gourd,472,27.9,63.54,15.95,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,East Indian,"['Weight_Loss', 'Immunity', 'Stress']"
Cilantro,149,17.43,29.7,7.89,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Weight_Gain', 'Diabetes', 'Digestion']"
Sugar,524,16.64,75.51,18.23,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,South Indian,"['Hair_Growth', 'Diabetes']"
Rasam,596,22.11,31.63,18.61,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Digestion', 'Hair_Growth', 'Weight_Gain']"
Amla,65,37.21,33.8,24.76,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Neutral,Neutral,West Indian,['Weight_Gain']
Urad Dal,590,9.37,30.81,6.99,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,North Indian,"['Digestion', 'Weight_Loss', 'Heart_Health']"
Tofu,384,31.41,72.86,21.28,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,['Hair_Growth']
Kheer,268,38.08,59.85,25.99,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,['Heart_Health']
Lamb,137,2.95,28.9,3.2,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Weight_Gain', 'Joint_Pain']"
Peach,304,13.82,67.55,16.51,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Neutral,Avoid,South Indian,"['General_Wellness', 'Joint_Pain']"
Kheer,544,2.66,28.81,32.91,Tikta (Bitter),Shita (Cold),Amla (Sour),Neutral,Neutral,Avoid,North Indian,"['Weight_Loss', 'Immunity']"
Buttermilk,383,37.56,54.61,27.63,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,['Hair_Growth']
Kiwi,494,7.88,9.14,18.09,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Stress', 'Weight_Loss']"
Broccoli,157,39.25,63.04,18.57,Amla (Sour),Shita (Cold),Amla (Sour),Neutral,Favor,Favor,West Indian,['Hair_Growth']
Pomegranate,550,26.04,37.3,4.85,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Neutral,Favor,North Indian,"['General_Wellness', 'Joint_Pain']"
Tomato,535,31.92,20.02,11.6,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,North Indian,['Stress']
Mutton Curry,477,26.95,29.91,18.3,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,South Indian,"['Diabetes', 'Digestion', 'Weight_Loss']"
Bay Leaf,563,37.35,38.4,23.76,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Diabetes', 'Acidity', 'Stress']"
Chutney,306,31.52,55.37,28.22,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Favor,Favor,West Indian,['Skin_Health']
Basil,382,13.87,6.94,7.89,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Heart_Health', 'Hair_Growth']"
Avial,193,4.53,6.68,27.17,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Neutral,West Indian,"['Hair_Growth', 'Acidity']"
Coriander,160,26.34,76.54,16.57,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,South Indian,"['Weight_Loss', 'Stress']"
Pumpkin,387,27.22,28.41,27.87,Amla (Sour),Shita (Cold),Katu (Pungent),Neutral,Avoid,Neutral,South Indian,"['Hair_Growth', 'Heart_Health', 'Acidity']"
Khichdi,455,36.81,75.93,8.51,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Neutral,South Indian,"['Stress', 'Immunity']"
Strawberry,288,12.56,24.13,12.83,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,North Indian,['Stress']
Edamame,552,16.54,53.83,25.94,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,South Indian,"['Weight_Loss', 'Joint_Pain', 'Hair_Growth']"
Fafda,158,28.18,51.59,15.72,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Hair_Growth', 'Digestion']"
Rasmalai,77,8.7,42.4,32.18,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,['Weight_Gain']
Nectarine,487,38.68,17.01,19.18,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,South Indian,['Immunity']
Mozzarella,515,31.42,53.36,30.53,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Neutral,Favor,North Indian,"['Weight_Loss', 'Diabetes']"
Garlic,304,28.3,12.07,26.83,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,"['Immunity', 'Weight_Loss', 'Stress']"
Jasmine Rice,150,34.03,78.37,7.59,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,['Acidity']
Uttapam,525,21.98,56.11,16.12,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Heart_Health', 'Weight_Loss', 'Weight_Gain']"
Dates,426,16.23,15.0,15.92,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Digestion', 'Stress']"
White Rice,191,36.62,42.77,17.35,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Neutral,Favor,West Indian,"['Stress', 'Skin_Health', 'Joint_Pain']"
Ginger,420,15.15,46.9,19.76,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,['Digestion']
Rasmalai,376,27.5,34.07,13.27,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,South Indian,"['Acidity', 'Digestion']"
Quinoa,381,35.63,64.16,7.24,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Neutral,Avoid,South Indian,"['Skin_Health', 'Weight_Loss']"
Rasam,304,11.0,76.9,15.82,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,South Indian,"['Stress', 'Hair_Growth', 'Heart_Health']"
Cottage Cheese,388,28.86,32.83,17.54,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['Skin_Health', 'Diabetes', 'Acidity']"
Lemon,131,18.69,25.63,33.06,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Favor,Favor,East Indian,['Stress']
Cilantro,172,18.73,58.17,2.5,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Avoid,North Indian,"['Immunity', 'Weight_Gain', 'Hair_Growth']"
Lassi,204,27.94,66.94,25.2,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Weight_Loss', 'Stress', 'Joint_Pain']"
Coconut Burfi,562,28.83,26.83,8.96,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,"['Digestion', 'Joint_Pain']"
Dates,478,33.49,72.59,28.95,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Neutral,South Indian,"['General_Wellness', 'Weight_Gain', 'Immunity']"
Jowar,369,12.97,65.7,2.86,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Joint_Pain', 'Diabetes', 'Immunity']"
Black Pepper,107,31.88,44.9,26.65,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Weight_Gain', 'General_Wellness', 'Skin_Health']"
Agave Nectar,567,2.42,29.82,1.55,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,['Digestion']
Wheatgrass Juice,536,39.7,22.48,23.8,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,['Acidity']
Chicken Tikka Masala,533,30.7,42.26,20.98,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,North Indian,"['General_Wellness', 'Hair_Growth']"
Jasmine Rice,179,14.22,17.69,10.64,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,North Indian,['Immunity']
Broccoli,305,34.42,52.04,28.36,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Neutral,Avoid,East Indian,"['General_Wellness', 'Weight_Loss']"
Oregano,479,16.44,16.82,14.87,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,East Indian,"['Acidity', 'Digestion']"
Black-eyed Peas,334,35.77,64.59,24.47,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,South Indian,['Joint_Pain']
Mushroom,313,26.83,13.04,27.35,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Neutral,Neutral,East Indian,['Hair_Growth']
Pork,190,5.52,42.46,24.94,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,"['General_Wellness', 'Weight_Loss']"
Palak Dal,569,9.3,12.98,11.18,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,['Weight_Gain']
Mango,371,31.0,60.5,27.11,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,South Indian,"['Immunity', 'Digestion', 'Hair_Growth']"
Fish Curry,588,21.81,58.06,1.23,Tikta (Bitter),Shita (Cold),Katu (Pungent),Neutral,Avoid,Favor,East Indian,['Weight_Gain']
Neem,489,22.06,59.0,31.22,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,East Indian,"['General_Wellness', 'Diabetes', 'Immunity']"
Coconut,584,26.65,62.86,14.5,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,East Indian,['General_Wellness']
Papad,566,10.21,65.77,10.26,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,South Indian,"['Weight_Gain', 'Immunity', 'Weight_Loss']"
Hyderabadi Biryani,175,35.91,35.7,21.68,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Favor,South Indian,"['Skin_Health', 'Acidity']"
Artichoke,268,20.14,17.16,21.78,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,North Indian,"['Joint_Pain', 'Skin_Health']"
Fennel Seeds,528,39.76,38.38,18.9,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Heart_Health', 'Diabetes']"
Cheddar,567,14.28,14.2,19.33,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,North Indian,"['Acidity', 'Skin_Health', 'Diabetes']"
Custard Apple,535,21.94,10.21,11.75,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Weight_Gain', 'Diabetes', 'Acidity']"
Cauliflower,505,5.39,13.51,31.69,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Acidity', 'Stress', 'Diabetes']"
Cottage Cheese,237,29.62,33.31,25.26,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Avoid,Favor,North Indian,['Diabetes']
Tuna,218,21.22,18.94,24.03,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['Weight_Loss']
Jowar Roti,69,25.28,41.77,23.05,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,East Indian,"['Joint_Pain', 'Immunity', 'Acidity']"
Urad Dal,168,5.96,59.4,8.68,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,['Hair_Growth']
Chickpeas,98,10.93,55.23,29.54,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,South Indian,"['Immunity', 'Stress']"
